Sexo,Percentil,Edad,IMC
V,97,5.11830992738208,16.4654482644835
V,97,6.01220686397136,16.6560762914242
V,97,7.03098594589854,17.0532166355936
V,97,8.00375581638544,17.5297860666574
V,97,9.01596268035679,18.1493242909192
V,97,10.021596273301,18.8324060392117
V,97,11.0140854303336,19.6266867275505
V,97,12.0197190232779,20.4686253770562
V,97,13.0122060741679,21.3741062780169
V,97,14.0178396671121,22.2795871789777
V,97,15.0037555531176,23.1056389930439
V,97,15.9896714391231,23.8363787025034
V,97,17.0018772500232,24.4559175630531
V,97,18.0009386250116,24.9324863578291
V,97,18.9934267289729,25.3296267019985
V,85,5.11830992738208,15.3852261720216
V,85,6.01877960846283,15.4646539863403
V,85,7.02441320140707,15.7029387018722
V,85,8.01690130536837,16.0365367945866
V,85,9.02253489831262,16.4495627016197
V,85,10.021596273301,16.8943610069561
V,85,11.0272298662453,17.4662425426267
V,85,12.0065724812236,18.0540109137367
V,85,13.0056338562121,18.7847493506205
V,85,13.9981219601734,19.5472601858075
V,85,15.0103288241447,20.2938829129793
V,85,16.002816928106,20.9610790984081
V,85,17.0018772500232,21.5647343049576
V,85,18.0075118960387,22.0571867537338
V,85,19,22.5178718945096
V,75,5.1248831984092,14.9563147021247
V,75,6.0253523529543,15.0198569535797
V,75,7.0178404569156,15.2104849805204
V,75,8.01690130536837,15.5281962377953
V,75,9.00938940932968,15.8141376419184
V,75,10.021596273301,16.2112792586636
V,75,11.0206576482895,16.7196185428792
V,75,12.0131457522508,17.259730225398
V,75,13.0122060741679,17.9269264108268
V,75,14.0178396671121,18.6576648477105
V,75,15.0037555531176,19.3248610331393
V,75,16.002816928106,19.9761716557044
V,75,17.0084505210503,20.5480544639507
V,75,17.9943653539845,21.0405081853026
V,75,19.0065732710271,21.4535340923357
V,25,5.11830992738208,13.5742656426759
V,25,6.01877960846283,13.5742656426759
V,25,7.01126771242413,13.7013501455858
V,25,8.01032856087691,13.8602057742233
V,25,9.02253489831262,14.0667193640277
V,25,10.021596273301,14.3526607681509
V,25,11.0075111062352,14.6703732980015
V,25,12.0262912412337,15.0833992050347
V,25,12.9924883672291,15.5123106749315
V,25,14.0046941781292,16.1000790460416
V,25,15.0169010421006,16.6401907285604
V,25,16.0093891460619,17.1803011385035
V,25,17.0018772500232,17.6250994438399
V,25,18.0009386250116,18.0063542251455
V,25,19.0065732710271,18.3399523178599
V,10,5.10516496493479,13.0500407955965
V,10,6.03192562398141,13.0341539601571
V,10,7.02441320140707,13.1294673373395
V,10,8.01690130536837,13.288322965977
V,10,9.02253489831262,13.4630654300539
V,10,10.0150230022739,13.6536921844189
V,10,11.0009388882794,13.9555204239815
V,10,12.0131457522508,14.3050040795597
V,10,13.0122060741679,14.7815722380478
V,10,14.0046941781292,15.2581416691116
V,10,15.0103288241447,15.718824264736
V,10,15.9962436570789,16.1953924232241
V,10,17.0018772500232,16.6084196028329
V,10,18.0075118960387,16.9420176955473
V,10,19.0065732710271,17.2279590996705
V,3,5.1248831984092,12.5416976936537
V,3,6.0253523529543,12.5575845290932
V,3,7.01126771242413,12.6370110708362
V,3,8.01032856087691,12.7640981188976
V,3,9.01596268035679,12.9070694572471
V,3,10.0281695443282,13.1294673373395
V,3,11.0009388882794,13.351865217432
